fold,edge_idx,x_eval,activation
0,0,-1.0,2.5218541622161865
0,1,-1.0,0.032237708568573
0,0,-0.9899497628211975,2.4917633533477783
0,1,-0.9899497628211975,0.039610207080841064
0,0,-0.979899525642395,2.4596874713897705
0,1,-0.979899525642395,0.04586315155029297
0,0,-0.9698492288589478,2.425691843032837
0,1,-0.9698492288589478,0.05106973648071289
0,0,-0.9597989916801453,2.389842987060547
0,1,-0.9597989916801453,0.05530363321304321
0,0,-0.9497487545013428,2.3522074222564697
0,1,-0.9497487545013428,0.05863839387893677
0,0,-0.9396985173225403,2.3128509521484375
0,1,-0.9396985173225403,0.061147332191467285
0,0,-0.929648220539093,2.271838426589966
0,1,-0.929648220539093,0.06290394067764282
0,0,-0.9195979833602905,2.2292370796203613
0,1,-0.9195979833602905,0.06398183107376099
0,0,-0.909547746181488,2.185112714767456
0,1,-0.909547746181488,0.06445437669754028
0,0,-0.8994975090026855,2.1395316123962402
0,1,-0.8994975090026855,0.06439507007598877
0,0,-0.8894472122192383,2.0925588607788086
0,1,-0.8894472122192383,0.06387734413146973
0,0,-0.8793969750404358,2.0442614555358887
0,1,-0.8793969750404358,0.06297469139099121
0,0,-0.8693467378616333,1.9947044849395752
0,1,-0.8693467378616333,0.061760663986206055
0,0,-0.8592965006828308,1.9439548254013062
0,1,-0.8592965006828308,0.06030869483947754
0,0,-0.8492462038993835,1.892077922821045
0,1,-0.8492462038993835,0.05869215726852417
0,0,-0.839195966720581,1.8391402959823608
0,1,-0.839195966720581,0.05698472261428833
0,0,-0.8291457295417786,1.7852075099945068
0,1,-0.8291457295417786,0.055259764194488525
0,0,-0.8190954923629761,1.7303458452224731
0,1,-0.8190954923629761,0.05359071493148804
0,0,-0.8090452551841736,1.674621343612671
0,1,-0.8090452551841736,0.05205118656158447
0,0,-0.7989949584007263,1.618099570274353
0,1,-0.7989949584007263,0.05071449279785156
0,0,-0.7889447212219238,1.5608470439910889
0,1,-0.7889447212219238,0.04965412616729736
0,0,-0.7788944840431213,1.5029298067092896
0,1,-0.7788944840431213,0.04894375801086426
0,0,-0.7688442468643188,1.444413423538208
0,1,-0.7688442468643188,0.0486566424369812
0,0,-0.7587939500808716,1.385364294052124
0,1,-0.7587939500808716,0.0488663911819458
0,0,-0.7487437129020691,1.3258483409881592
0,1,-0.7487437129020691,0.04964637756347656
0,0,-0.7386934757232666,1.265947699546814
0,1,-0.7386934757232666,0.05104100704193115
0,0,-0.7286432385444641,1.2057889699935913
0,1,-0.7286432385444641,0.05301463603973389
0,0,-0.7185929417610168,1.1455059051513672
0,1,-0.7185929417610168,0.05551767349243164
0,0,-0.7085427045822144,1.0852330923080444
0,1,-0.7085427045822144,0.058500468730926514
0,0,-0.6984924674034119,1.0251046419143677
0,1,-0.6984924674034119,0.061913758516311646
0,0,-0.6884422302246094,0.9652547240257263
0,1,-0.6884422302246094,0.06570804119110107
0,0,-0.6783919334411621,0.9058165550231934
0,1,-0.6783919334411621,0.06983363628387451
0,0,-0.6683416962623596,0.8469254970550537
0,1,-0.6683416962623596,0.07424125075340271
0,0,-0.6582914590835571,0.7887152433395386
0,1,-0.6582914590835571,0.07888126373291016
0,0,-0.6482412219047546,0.7313199043273926
0,1,-0.6482412219047546,0.08370417356491089
0,0,-0.6381909251213074,0.6748732328414917
0,1,-0.6381909251213074,0.08866068720817566
0,0,-0.6281406879425049,0.6195100545883179
0,1,-0.6281406879425049,0.09370100498199463
0,0,-0.6180904507637024,0.5653640627861023
