ticker,approach_used,r2_score,sigma_recovered,drift_recovered,avg_market_iv,sigma_rel_err
SPY,gp_dupire_baseline,0.5843011429079612,0.06804192190025454,0.34678292692318685,0.17317248119354248,0.6070858289302389
QQQ,gp_dupire_baseline,0.9202644427684683,0.19571515870486944,0.3497316779051401,0.2331415899172196,0.160530908387641
AAPL,gp_dupire_baseline,0.6593574468783687,0.17815232438295697,0.3184735206020812,0.2850133134885694,0.37493332433363025
MSFT,gp_dupire_baseline,0.6480919462460211,0.36520221918309215,0.4269250551540671,0.3294066576691561,0.1086667821689499
