ticker,r2_bs,r2_dupire,sigma_discovered_dupire,avg_market_iv,sigma_rel_err,drift_discovered_dupire
AAPL,0.3131774921002063,0.14532448477470017,,0.2850133134885694,,0.3538008225489004
MSFT,0.39562733082759927,-0.22347653829630576,0.08319882286439505,0.3294066576691561,0.7474282291283958,0.3477245660008973
QQQ,0.7998608951546439,0.2663710319762884,0.08910626242637544,0.2331415899172196,0.6178019440546237,0.05840003612245776
SPY,0.7483814121427292,0.7313648151791909,0.06481068439971496,0.17317248119354248,0.625744899229799,0.09839926051273967
