ticker,K_center,tau_center,sigma_local,r2_local
QQQ,664.3589743589744,0.3088295333333333,,0.9847125639021246
QQQ,664.3589743589744,0.5141684000000001,0.5203206236095177,0.9944384534831342
QQQ,685.5128205128206,0.3088295333333333,0.39203822882061695,0.9721136136659221
QQQ,685.5128205128206,0.5141684000000001,,0.961027038614302
QQQ,706.6666666666665,0.3088295333333333,,0.9770894459896586
QQQ,706.6666666666665,0.5141684000000001,,0.9608164571624178
QQQ,727.8205128205129,0.3088295333333333,0.3812849237755802,0.57292651754177
QQQ,727.8205128205129,0.5141684000000001,0.34961380767804257,0.5952942266959402
QQQ,748.974358974359,0.3088295333333333,0.27975987774097677,0.5095011097628395
QQQ,748.974358974359,0.5141684000000001,0.47564391698525144,0.6218404594867304
QQQ,770.1282051282052,0.3088295333333333,0.4265112943179547,0.9122111941269333
QQQ,770.1282051282052,0.5141684000000001,,0.2456129552358879
QQQ,791.2820512820513,0.3088295333333333,0.3420261250839419,0.9580690676301946
QQQ,791.2820512820513,0.5141684000000001,0.21756472180077374,0.8797434707392833
QQQ,812.4358974358973,0.3088295333333333,,0.9511023551585477
QQQ,812.4358974358973,0.5141684000000001,,0.9886638956568979
QQQ,833.5897435897436,0.3088295333333333,0.15282136470592206,0.9577277146518769
QQQ,833.5897435897436,0.5141684000000001,0.2595402831124772,0.8290546740629633
