noise_level,coeff_V,coeff_dVdS,coeff_d2VdS2,coeff_SdVdS,coeff_S2d2VdS2,rel_error_V,rel_error_SdVdS,rel_error_S2d2VdS2,n_active_terms,correct_structure,r2,bic,false_positive_terms,bootstrap_stability_pct
0.0,0.049897025521548226,0.03817540693284718,0.5552718294095469,-0.050236730620308666,-0.020096911357450446,0.0020594895690355386,0.004734612406173261,0.004845567872522118,5,False,0.9999978120866516,-87004.10445164723,"dV/dS,d2V/dS2",100.0
0.01,-0.12564975099272482,-39.783017960419365,-2.03448174101825,0.2920466372574476,0.0,3.512995019854497,6.840932745148952,1.0,4,False,0.20468160723443563,27242.63989453854,"dV/dS,d2V/dS2",66.66666666666666
0.05,-0.2303676760045178,-29.534630818412474,-0.3052854044526428,0.2404554703760606,0.0,5.6073535200903555,5.809109407521212,1.0,4,False,0.0038046251599482828,52171.48751397995,"dV/dS,d2V/dS2",66.66666666666666
0.1,-0.2563276903127385,-14.497121619785247,-0.21747857730453768,0.13191827250476118,0.0,6.126553806254769,3.638365450095223,1.0,4,False,-0.0005099866466522496,63059.51572853511,"dV/dS,d2V/dS2",66.66666666666666
0.2,-0.25929596041208886,-4.165751003376345,-0.18615952163806718,0.05571758828196831,0.0,6.185919208241777,2.114351765639366,1.0,4,False,0.00021459768347154018,73840.53670003271,"dV/dS,d2V/dS2",66.66666666666666
