ticker,r2_rbf,r2_matern,kernel_winner,length_scales_rbf,length_scales_matern
SPY,0.9623843215209517,0.6844271574768322,rbf,[84.05942444  0.86889936],[46.03554303  1.66711835]
QQQ,0.9284618648252276,0.9688397240841848,matern,[148.74149479   0.52757709],[424.80777846   1.47542537]
AAPL,0.9245645073890807,0.9964477778636313,matern,[48.2475422   0.83739728],[112.96300123   2.17305117]
MSFT,0.38759054183580977,0.9880541819366133,matern,[50.4813439   0.77098757],[138.97013879   1.80865471]
