ticker,holdout_tau,approach,rmse
QQQ,0.068446,stratified_gp,0.05926304315157771
QQQ,0.090349,fd_baseline,0.04225531607459232
QQQ,0.090349,savgol_fd,0.041326690493119426
QQQ,0.090349,gp_smooth_fd_deriv,0.042247311929313094
QQQ,0.090349,stratified_gp,0.04149741912714983
QQQ,0.1013,fd_baseline,0.04943934506318662
QQQ,0.1013,savgol_fd,0.04776467900626737
QQQ,0.1013,gp_smooth_fd_deriv,0.05051327162634172
QQQ,0.1013,stratified_gp,0.05131920370128914
QQQ,0.147844,fd_baseline,0.042301022136806615
QQQ,0.147844,savgol_fd,0.04048701261616568
QQQ,0.147844,gp_smooth_fd_deriv,0.04115204751089732
QQQ,0.147844,stratified_gp,0.04303546113394314
QQQ,0.186174,fd_baseline,0.029644858694271983
QQQ,0.186174,savgol_fd,0.029635394755690967
QQQ,0.186174,gp_smooth_fd_deriv,0.027579485948246718
QQQ,0.186174,stratified_gp,0.029258795626321044
QQQ,0.243669,fd_baseline,0.03055770425252811
QQQ,0.243669,savgol_fd,0.03118353755649138
QQQ,0.243669,gp_smooth_fd_deriv,0.027850917505565374
QQQ,0.243669,stratified_gp,0.02886541777775911
QQQ,0.320329,fd_baseline,0.03559036341626565
QQQ,0.320329,savgol_fd,0.033860953127190035
QQQ,0.320329,gp_smooth_fd_deriv,0.03624607774865612
QQQ,0.320329,stratified_gp,0.03615963610475464
QQQ,0.353183,fd_baseline,0.0581208947556952
QQQ,0.353183,savgol_fd,0.05733789051013606
QQQ,0.353183,gp_smooth_fd_deriv,0.05816459786848862
QQQ,0.353183,stratified_gp,0.05766072440841566
QQQ,0.396988,fd_baseline,0.03565757649844143
QQQ,0.396988,savgol_fd,0.036009865321863656
QQQ,0.396988,gp_smooth_fd_deriv,0.034652992182642756
QQQ,0.396988,stratified_gp,0.035730348582238065
QQQ,0.818617,fd_baseline,0.021381289816006815
QQQ,0.818617,savgol_fd,0.0238275931351361
QQQ,0.818617,gp_smooth_fd_deriv,0.022745973611944928
QQQ,0.818617,stratified_gp,0.017850431001872943
QQQ,0.851472,fd_baseline,0.03385875244339222
QQQ,0.851472,savgol_fd,0.035378957426288424
QQQ,0.851472,gp_smooth_fd_deriv,0.029925961568525956
QQQ,0.851472,stratified_gp,0.030010557984097287
