noise_pct,method,r2_noisy,r2_clean,n_active,coeff_V,coeff_SdVdS,coeff_S2d2VdS2,rel_err_V,rel_err_SdVdS,rel_err_S2d2VdS2,max_rel_err,mean_rel_err,correct_structure
0.0,fd,0.9999896441362492,0.9999912682980269,5,0.04933184527129493,-0.05047719062212437,-0.020316372413199484,0.013363094574101453,0.009543812442487365,0.015818620659974015,0.015818620659974015,0.012908509225520943,False
0.0,savgol,0.9989769087543244,0.9999152268637768,5,0.04724967528821131,-0.05217584993334563,-0.02073927695188706,0.05500649423577392,0.04351699866691261,0.03696384759435278,0.05500649423577392,0.04516244683234644,False
0.0,neural,0.8784415452271519,0.8668048788883058,5,0.20391730915690529,-0.14076681806551086,0.009085919168748135,3.0783461831381054,1.8153363613102171,1.4542959584374067,3.0783461831381054,2.1159928342952434,False
0.0,weak,0.9369214492595708,0.9010729936665699,4,0.21924128992157388,0.0,0.01007929830459021,3.3848257984314776,1.0,1.5039649152295103,3.3848257984314776,1.9629302378869962,False
0.005,fd,0.43215707528324965,0.8246796125502336,4,-0.06226390086976378,0.27289666840945237,0.0,2.2452780173952758,6.457933368189047,1.0,6.457933368189047,3.2344037951947744,False
0.005,savgol,0.9247817794378137,0.989121247133773,5,0.06535399235144065,-0.004330393714900796,-0.007147997158374135,0.307079847028813,0.9133921257019841,0.6426001420812933,0.9133921257019841,0.6210240382706967,False
0.005,neural,0.8807576148589007,0.8664154935365738,5,0.1614596483551679,-0.14587735052942394,0.004685329815597034,2.229192967103358,1.9175470105884787,1.2342664907798515,2.229192967103358,1.7936688228238962,False
0.005,weak,0.9366932318934428,0.8999963022599978,5,0.21480258295004745,0.0079508031393581,0.01008860314007339,3.296051659000949,1.159016062787162,1.5044301570036696,3.296051659000949,1.9864992929305938,False
0.01,fd,0.17330069940416082,0.8162741334843306,4,-0.07725037350124957,0.2800066450688433,0.0,2.5450074700249914,6.600132901376866,1.0,6.600132901376866,3.381713457133953,False
0.01,savgol,0.8007502829361395,0.9577902136301315,4,0.04432705171610118,0.07469630268322715,0.0,0.1134589656779765,2.4939260536645427,1.0,2.4939260536645427,1.202461673114173,False
0.01,neural,0.882350802717417,0.8573107547798751,4,0.11582282657959739,-0.15036312965638146,0.0,1.3164565315919476,2.007262593127629,1.0,2.007262593127629,1.441239708239859,False
0.01,weak,0.9320644615501747,0.8984308666323825,5,0.2137820570200356,0.01325418115458044,0.010122273768853919,3.275641140400712,1.2650836230916087,1.5061136884426958,3.275641140400712,2.015612817311672,False
0.02,fd,0.04162497001808663,0.7907423748381254,4,-0.11390808991730564,0.27388933137285415,0.0,3.278161798346113,6.477786627457083,1.0,6.477786627457083,3.5853161419343986,False
0.02,savgol,0.5616280588231085,0.9063729616094417,5,0.0032550067394938463,0.16615714947334317,0.0037631624503052514,0.9348998652101231,4.323142989466864,1.1881581225152626,4.323142989466864,2.148733659064083,False
