term,true_coefficient,discovered_coefficient,relative_error,active
V,0.05,0.049897025521548226,0.0020594895690355386,True
dV/dS,0.0,0.03817540693284718,381754069.32847184,True
d2V/dS2,0.0,0.5552718294095469,5552718294.0954685,True
S*dV/dS,-0.05,-0.050236730620308666,0.004734612406173261,True
S2*d2V/dS2,-0.020000000000000004,-0.020096911357450446,0.004845567872522118,True
