k_center,tau_center,sigma_local,r2,is_valid
-0.20512820512820512,0.1382615,0.0,0.10300313233672087,False
-0.20512820512820512,0.22176600000000002,0.0,0.29210387804754534,False
-0.20512820512820512,0.3394935,0.02368707539276929,-0.24884577956272858,False
-0.20512820512820512,0.48323099999999997,0.0,-0.7780642111694887,False
-0.20512820512820512,0.7501709999999999,0.0,-0.540984200186116,False
-0.20512820512820512,1.13347,0.0,0.44857547427658806,False
-0.16666666666666669,0.1382615,0.0,0.0986440204172282,False
-0.16666666666666669,0.22176600000000002,0.0,0.3768412757546791,False
-0.16666666666666669,0.3394935,0.0,-0.018170775365365488,False
-0.16666666666666669,0.48323099999999997,0.0,-0.4635717187977415,False
-0.16666666666666669,0.7501709999999999,0.0,0.03596846861905323,False
-0.16666666666666669,1.13347,0.0,0.6148705704730291,False
-0.1282051282051282,0.1382615,0.0,0.12156388933605122,False
-0.1282051282051282,0.22176600000000002,0.0,0.42387529798116597,False
-0.1282051282051282,0.3394935,0.0,0.04975228202430182,False
-0.1282051282051282,0.48323099999999997,0.0,-0.1438230173941113,False
-0.1282051282051282,0.7501709999999999,0.0,0.35865104117281843,False
-0.1282051282051282,1.13347,0.0948041214262983,0.7126396488581308,True
-0.08974358974358976,0.1382615,0.0,0.16526327955946252,False
-0.08974358974358976,0.22176600000000002,0.039410107118341746,0.4473204594652198,False
-0.08974358974358976,0.3394935,0.0,0.23593901397879902,False
-0.08974358974358976,0.48323099999999997,0.0,-0.15209926781507965,False
-0.08974358974358976,0.7501709999999999,0.027990507902311695,0.40741706120994825,False
-0.08974358974358976,1.13347,0.12649480760103243,0.7448918845129452,True
-0.05128205128205128,0.1382615,0.0,0.2975600145147359,False
-0.05128205128205128,0.22176600000000002,0.06635396425976359,0.3898969706853198,False
-0.05128205128205128,0.3394935,0.008132510479818953,0.30483180961126743,False
-0.05128205128205128,0.48323099999999997,0.0,-0.12392810687838596,False
-0.05128205128205128,0.7501709999999999,0.05575663756137588,0.30166797906161,False
-0.05128205128205128,1.13347,0.14694811633487606,0.722013743444636,True
-0.01282051282051283,0.1382615,0.03441433679019888,0.6688542529790418,True
-0.01282051282051283,0.22176600000000002,0.05945622283910393,0.5700641738644784,True
-0.01282051282051283,0.3394935,0.06078263900791498,0.6243533750716499,True
-0.01282051282051283,0.48323099999999997,0.02254816052262483,0.029769389870851204,False
-0.01282051282051283,0.7501709999999999,0.023491011353229927,0.006108914660736597,False
-0.01282051282051283,1.13347,0.029247939898134102,-0.16803750036546417,False
0.02564102564102562,0.1382615,0.04428653379403847,0.9053537087109841,True
0.02564102564102562,0.22176600000000002,0.05494722258933118,0.8023713190733728,True
0.02564102564102562,0.3394935,0.07267405818169541,0.8157895337085158,True
0.02564102564102562,0.48323099999999997,0.061772226977086474,0.6318061398183787,True
0.02564102564102562,0.7501709999999999,0.03879385939506446,0.19990597945953636,False
0.02564102564102562,1.13347,0.01806026626030245,-0.29709658535965766,False
0.0641025641025641,0.1382615,0.07114455780789693,0.9544197266645803,True
0.0641025641025641,0.22176600000000002,0.07699568631838398,0.9208222326654543,True
0.0641025641025641,0.3394935,0.07930205427722169,0.7517190860151058,True
0.0641025641025641,0.48323099999999997,0.07294209806739081,0.7745614910950096,True
0.0641025641025641,0.7501709999999999,0.07432698354392413,0.5134599258848496,True
0.0641025641025641,1.13347,0.03521660965495688,0.004383603537162051,False
0.10256410256410256,0.1382615,0.09031860978488723,0.5339217887594273,True
0.10256410256410256,0.22176600000000002,0.10758842498773108,0.7290367704088022,True
0.10256410256410256,0.3394935,0.09938387885944741,0.5326858632228093,True
0.10256410256410256,0.48323099999999997,0.09766276911797357,0.7682135365607649,True
0.10256410256410256,0.7501709999999999,0.10073006974114779,0.7187065199052276,True
0.10256410256410256,1.13347,0.09387188936722704,0.7929411745818113,True
0.14102564102564102,0.1382615,0.0,-0.5532404664298916,False
0.14102564102564102,0.22176600000000002,0.10644367779864874,0.4147697340414409,False
0.14102564102564102,0.3394935,0.09094288924043213,0.10564063653322486,False
0.14102564102564102,0.48323099999999997,0.051631812508581176,0.3260471991736651,False
0.14102564102564102,0.7501709999999999,0.08080939362727894,0.00896220909572798,False
0.14102564102564102,1.13347,0.08332432407605118,0.10180846230714458,False
0.17948717948717946,0.1382615,0.21738915858225016,-0.5237589982186461,False
0.17948717948717946,0.22176600000000002,0.16069067790021258,0.01666623908880205,False
0.17948717948717946,0.3394935,0.15454790055141346,-0.349612737090665,False
0.17948717948717946,0.48323099999999997,0.05015835896759414,0.17150513941379497,False
0.17948717948717946,0.7501709999999999,0.12580588717865854,-0.152993706877659,False
0.17948717948717946,1.13347,0.0,0.02694674406680353,False
