variant,relative_l2_error,mae,r2,boundary_error
logprice_call,0.00475193159335759,0.12733545622808654,0.9999645111314808,0.3563439912355021
logprice_put,0.036871414943884406,0.3973451942267836,0.9977644285854393,0.42178458383568723
