ticker,kan_train_r2,kan_test_r2,n_active_edges,symbolic_expression,sindy_r2,error
SPY,0.9798266675776321,0.8360636611400063,30,dV/dt = 207*S**3/545 - 101*S/947 + 333*V**3/1000 + 378*d2V**3/(239*dS2**3) + 3850*t/989 + 944*exp(S)/911 + 739*exp(V)/230 + 142*exp(t)/573 + 229*exp(d2V/dS2)/343 - 22*exp(dV/dS)/141 - 134*log(Abs(t))/,0.07559986072325164,
QQQ,0.9928459567789085,0.8729981057186935,30,dV/dt = 626*S/869 + 361*V**3/547 + 349*V/245 + 190*d2V**3/(509*dS2**3) + 86*t**3/885 + 732*t/623 + 41*exp(S)/110 + 67*exp(V)/495 + 2*exp(d2V/dS2)/23 - 25*exp(dV/dS)/384 - 614*sqrt(Abs(t))/963 - 477*Ab,0.677294494136015,
