tau,n_used,c1,c2,sigma_loc,r2,market_avg_iv,sigma_in_bounds
0.032854,40,-0.2717993662752117,0.025511370878127854,0.22588214129553427,0.8685770046941105,0.4437342019381115,True
0.052019,40,-0.304038688666886,0.02366186663314686,0.217540187704005,0.8408707364983142,0.44078829429977545,True
0.068446,40,-0.1722842879827284,0.031565743259670154,0.2512597988523837,0.7530524394519362,0.37154538942062193,True
0.090349,40,-0.2195571128837264,0.026303230212999143,0.2293609827891359,0.7074387694850355,0.38757438128969174,True
0.147844,40,-0.1661916338676598,0.026624651763910795,0.23075810609341893,0.5211957857657414,0.34598039121440155,True
0.243669,40,-0.13837126704803673,0.04153065708056286,0.2882035984527704,0.46108025803350483,0.35661059511019033,True
0.320329,40,-0.1340914546753899,0.0377727020998607,0.27485524226348934,0.42579941140674493,0.3458929901025798,True
0.396988,40,-0.16416981763616423,0.024051965805790197,0.2193260851143347,-0.04045598640722603,0.35410599156729805,True
0.492813,40,-0.14649039521235924,0.032563760796632896,0.2552009435587294,-0.49151059325720503,0.35865315482293414,True
0.569473,40,-0.16085787666718127,0.02083162184758335,0.2041157605261453,-1.3985797814239862,0.358460018963308,True
0.646133,40,-0.15707634666619383,0.018705250328315878,0.19341794295419376,-1.8639387900240592,0.3580763378076979,True
0.818617,40,-0.14873355252574308,0.02084878854372783,0.20419984595355517,-1.2850747794530668,0.35566806103102394,True
1.065024,40,-0.1486823570485919,0.015872783803504664,0.17817285878328754,-3.6583172749933563,0.362140250958776,True
1.566051,40,-0.13974451467027726,0.008294189568141019,0.12879588167438444,-7.891259909364855,0.362140250958776,True
1.661875,40,-0.13781820671258624,0.007443872261490836,0.12201534544057019,-8.736979996558619,0.362140250958776,True
