k_center,tau_center,sigma_local,r2,is_valid
-0.20512820512820512,0.214921,0.0728996258087334,0.23136709973957226,False
-0.20512820512820512,0.368241,0.0,0.5980352789847896,False
-0.20512820512820512,0.6926764999999999,0.0,0.6735335710680027,False
-0.20512820512820512,1.115674,0.02967486453696463,0.6550381664825835,True
-0.16666666666666669,0.214921,0.0,0.29500017644609733,False
-0.16666666666666669,0.368241,0.06409570004844516,0.5772387587909569,True
-0.16666666666666669,0.6926764999999999,0.035510034734087884,0.6476359375890814,True
-0.16666666666666669,1.115674,0.0,0.5641894100572369,False
-0.1282051282051282,0.214921,0.0,0.3051793305828334,False
-0.1282051282051282,0.368241,0.1604177598896876,0.5337747842917082,True
-0.1282051282051282,0.6926764999999999,0.038811143434176916,0.4954481832539561,False
-0.1282051282051282,1.115674,0.0,0.45679536013143796,False
-0.08974358974358976,0.214921,0.0,0.47626851626112676,False
-0.08974358974358976,0.368241,0.16038984108618226,0.42724685320076494,False
-0.08974358974358976,0.6926764999999999,0.08559033765281257,0.4101911200605052,False
-0.08974358974358976,1.115674,0.0,0.43057181132249633,False
-0.05128205128205128,0.214921,0.07990700857057653,0.430631888347044,False
-0.05128205128205128,0.368241,0.1129645898117047,0.43322270592001777,False
-0.05128205128205128,0.6926764999999999,0.07294889078382967,0.39658339150807453,False
-0.05128205128205128,1.115674,0.05013503685475115,0.42107740535676874,False
-0.01282051282051283,0.214921,0.12196544653638317,0.5709196459281316,True
-0.01282051282051283,0.368241,0.08383126171479546,0.29193185160891,False
-0.01282051282051283,0.6926764999999999,0.045377802312854626,0.1931043144308623,False
-0.01282051282051283,1.115674,0.08426640875383769,0.3939220169665941,False
0.02564102564102562,0.214921,0.15862712178412963,0.8679536732197717,True
0.02564102564102562,0.368241,0.15803839387869265,0.9220558999586407,True
0.02564102564102562,0.6926764999999999,0.16229670657694126,0.8652888126355092,True
0.02564102564102562,1.115674,0.16680163568836964,0.8033503732031282,True
0.0641025641025641,0.214921,0.1748701503202643,0.6372265094678871,True
0.0641025641025641,0.368241,0.1673261618400923,0.8588811068488582,True
0.0641025641025641,0.6926764999999999,0.16171891964473922,0.7373622039964154,True
0.0641025641025641,1.115674,0.14732621366022947,0.6486531458921689,True
0.10256410256410256,0.214921,0.23036429428300992,-0.14571609271652775,False
0.10256410256410256,0.368241,0.2053812468511859,0.7101197874664458,True
0.10256410256410256,0.6926764999999999,0.1857136939776036,0.44809871634420995,False
0.10256410256410256,1.115674,0.16269911436011691,0.1552514607339449,False
0.14102564102564102,0.214921,0.24084116164160088,-0.7870149771156418,False
0.14102564102564102,0.368241,0.2162954260793184,-0.014728196948922578,False
0.14102564102564102,0.6926764999999999,0.18755181873950788,-1.3020535973746235,False
0.14102564102564102,1.115674,0.12893699516067686,-3.8106971115969754,False
0.17948717948717946,0.214921,0.15726774503178947,-0.9570298560738544,False
0.17948717948717946,0.368241,0.16927738799781736,0.08181521455055185,False
0.17948717948717946,0.6926764999999999,0.17467813297244728,-1.8012377922404479,False
0.17948717948717946,1.115674,0.10052395917655675,-6.753037630305487,False
