level,n_terms,r2,condition_number,n_active,true_terms_active,n_false_positives,n_false_negatives
A,5,0.9999978120866516,67828.86804943965,5,True,2,0
B,8,0.9999978120866516,31445228.20079458,5,True,2,0
C,11,0.9999980928800758,71887269.3230485,8,True,5,0
D,14,0.9999981764526538,49857442973.02539,10,True,7,0
