label,missing_term,r2,r2_drop,n_active
E,V,0.9991150006130276,0.0008828114736240122,4
F,S2*d2V/dS2,0.9825945934448487,0.017403218641802942,3
G,S*dV/dS,0.9988575889751156,0.001140223111536054,4
