tau,n_used,c1,c2,sigma_loc,r2,market_avg_iv,sigma_in_bounds
0.032854,40,-0.3141824081315141,0.0049897459350883655,0.09989740672398223,0.8816165850371821,0.44651393355895524,True
0.052019,40,-0.23567680472019617,0.01193834141061113,0.15452081678926713,0.9304989278200636,0.36766773622242227,True
0.068446,40,-0.2008086769360068,0.011556704817639702,0.15203094959671667,0.943972107533194,0.33698695993767164,True
0.090349,40,-0.20467443812369956,0.009263042036351263,0.1361105582704829,0.9008357697316741,0.3302846917303825,True
0.147844,40,-0.16084756396414146,0.010647680865385702,0.14592930387955466,0.9212856320166805,0.2936706751081298,True
0.243669,40,-0.14702764886895897,0.013734833887246604,0.16573975918437076,0.8251731697331017,0.2931512554307329,True
0.320329,40,-0.1444995990951304,0.011793412870703252,0.1535800304121812,0.7906202494996937,0.29241034304595803,True
0.396988,40,-0.14108679785476474,0.010773023339643459,0.1467857168776544,0.7231873361848127,0.29267775247327865,True
0.492813,40,-0.13967477664167244,0.011401619685270866,0.15100741495218614,0.39743797449413,0.2974470623079669,True
0.569473,40,-0.13538312318614731,0.010465914626918578,0.14467836484366678,0.5655264818761394,0.2987182242819283,True
0.646133,40,-0.13307646725268812,0.0093867445811305,0.1370163828243214,0.4516207755458437,0.2996615712485423,True
0.741958,40,-0.1349653575484537,0.008907596850479257,0.13347356929729015,-0.04377172686896946,0.30053319728674843,True
0.818617,40,-0.13213305120839647,0.008158185378104504,0.12773555008770662,0.0644970654729663,0.3063050829479924,True
1.065024,40,-0.12535562921938162,0.006713521497338505,0.1158751180999485,-0.13871430014531372,0.3141693365930879,True
1.316906,40,-0.12950749512963777,0.00407935944787784,0.09032562701556895,-0.044429974856398324,0.31657774894319113,True
1.566051,40,-0.11827965522241463,0.00525543687918672,0.10252255243785846,-5.6881704030376925,0.32989838731070914,True
1.661875,40,-0.11880699023790497,0.003552187781033889,0.08428745791674927,-2.6635373281672297,0.3297331212851758,True
1.815195,40,-0.11523523243208462,0.0030024084279660305,0.07749075335762365,-3.4220657831423322,0.3297331212851758,True
