method,coeff_V,coeff_SdVdS,coeff_S2d2VdS2,r2,n_active,runtime
dense,0.049897025521548226,-0.050236730620308666,-0.020096911357450446,0.9999978120866516,5,0
lasso,0.04289106217684712,-0.04810051756211504,-0.0202412728777947,0.9999287867277252,3,0
ridge_threshold,0.04972577365674596,-0.04999148302197885,-0.02003502633020023,0.9999970897718089,5,0
symbolic,0.0,0.0,0.0,0.804148855867664,0,0
