term,true_coefficient,discovered_coefficient,relative_error,active
V,0.05,0.05022250356455687,0.004450071291137309,True
dV/dS,0.0,0.047724982926077804,477249829.260778,True
d2V/dS2,0.0,-0.5447036804791675,5447036804.791675,True
S*dV/dS,-0.05,-0.05065009965433513,0.013001993086702579,True
S2*d2V/dS2,-0.020000000000000004,-0.019985466273722174,0.0007266863138915071,True
