method,R2_SPY,sigma_loc_summary,sigma_imp_median,notes
SVI,0.288055719988057,0.06792780975177977,0.26109921236646977,"n_svi_success=20, n_svi_fallback=0"
cubic_spline,-0.4388104675730402,0.0,0.25200374153124216,n_fits=20
LOESS,0.23718319941783517,0.08663233222334872,0.25230451033107987,"impl=lowess, n_fits=20"
