noise_pct,savgol_r2_clean,weak_r2_clean,best
0.01,0.9577902136301315,0.8984308666323825,savgol
0.015,0.927970839673963,0.8968324660644083,savgol
0.02,0.9063729616094417,0.8950036734327652,savgol
0.025,0.8901469874604445,0.8931692814372008,weak
0.03,0.8712527544359677,0.8913137322497047,weak
0.035,0.8622386624424591,0.8895267927315259,weak
0.04,0.8555719246460799,0.8878110655558109,weak
0.045,0.8504754851535696,0.8863224573826185,weak
0.05,0.8464377829205354,0.8853246902056537,weak
