config,n_edges,train_r2,test_r2,n_active_edges,n_clean_edges,n_complex_edges,symbolic_expression
"[5, 1]",5,0.9910735241914223,0.9963376736821157,5,4,1,dV/dt = complex(V)[r2=0.87] + -0.505*dV/dS -0.1795 + -0.6835*d2V/dS2 -0.2703 + +0.3566*S*dV/dS^2 -0.3485*S*dV/dS -0.3744 + +0.3997*S^2*d2V/dS2^2 -0.9478*S^2*d2V/dS2 -0.6907
"[5, 2, 1]",12,0.9911006974945765,0.9958269782479017,10,6,4,L0_out0 = complex(dV/dS) + -0.00599*d2V/dS2 -0.01221 + complex(S*dV/dS) + complex(S^2*d2V/dS2); L0_out1 = complex(dV/dS) + -0.08972*d2V/dS2^2 +0.07829*d2V/dS2 -0.006112 + -0.07663*S*dV/dS^2 +0.1279*S*dV/dS -0.04787 + +0.2347*S^2*d2V/dS2 -0.118; L1_out0 = -0.4554*h1_0^2 +0.48*h1_0 +0.4512 + +1.879*h1
"[5, 3, 1]",18,0.9893162033180639,0.9945988317511706,12,9,3,L0_out0 = +0.05367*exp(+1.633*dV/dS) -0.0313 + -0.08288*d2V/dS2^2 +0.06493*d2V/dS2 +0.003322 + +0.2305*S^2*d2V/dS2 +0.09244; L0_out1 = -0.05538*dV/dS^2 +0.05319*dV/dS -0.009039 + -0.01905*d2V/dS2^2 +0.05503*d2V/dS2 -0.02771 + -0.1361*S*dV/dS^2 +0.1101*S*dV/dS -0.004307 + +0.2183*S^2*d2V/dS2 -0.1397;
