ticker,train_r2,test_r2,n_active_edges,n_clean_edges,symbolic_expression,sindy_r2_baseline,error
SPY,0.10850804987102769,-0.005169464207813723,4,2,dV/dt = +0.2745*exp(+1.783*V) -0.509 + -0.2051*dV/dS^2 +0.03191*dV/dS -0.009573 + complex(d2V/dS2)[r2=0.67] + complex(S*dV/dS)[r2=0.89],0.07559986072325164,
QQQ,0.7611094399278623,0.6316147878445217,5,5,dV/dt = -0.9272*V^2 +1.845*V -0.0007758 + -1.499*dV/dS^2 +0.5966*dV/dS +0.6951 + -0.4469*d2V/dS2^2 +0.3141*d2V/dS2 +0.06643 + -0.4699*S*dV/dS^2 -0.1352*S*dV/dS +0.04028 + -1.062*S^2*d2V/dS2^2 +0.721*S^2*d2V/dS2 +0.3063,0.677294494136015,
