ticker,date,tau_left_out,R2,n_test_points
SPY,20260329,0.032854,-0.31878962014374523,40
SPY,20260329,0.16016407142857142,0.31652678387335886,40
SPY,20260329,0.28747414285714284,-0.11154139234807703,40
SPY,20260329,0.41478421428571427,0.7810884974215858,40
SPY,20260329,0.5420942857142858,-1.1137364069300428,40
SPY,20260329,0.6694043571428572,0.5099777453570249,40
SPY,20260329,0.7967144285714286,0.8093116489358428,40
SPY,20260329,0.9240245,0.3539943963906401,40
SPY,20260329,1.0513345714285713,0.0018507149576261206,40
SPY,20260329,1.1786446428571429,-0.8699317691412725,40
SPY,20260329,1.3059547142857142,-2.0219313986777574,40
SPY,20260329,1.4332647857142855,-3.453557196810441,40
SPY,20260329,1.560574857142857,-5.289529434591263,40
SPY,20260329,1.6878849285714286,-7.573933300128379,40
SPY,20260329,1.815195,-10.565359378934406,40
