ticker,n_valid,n_total,sigma_median,sigma_mean
SPY,2,55,0.16141532031431094,0.16141532031431094
QQQ,4,44,0.19221774780606898,0.22740103301053186
AAPL,6,33,0.2761305839989384,0.30140229110991845
MSFT,6,22,0.2514111418739118,0.3334181525863111
