greek,region,mae,max_abs_error,relative_l2,n_points
delta,full,0.01249346180224768,0.22483910513560773,0.02855660968615355,10000
delta,interior,0.014330997787868114,0.06095672779236401,0.031779401839780834,4860
delta,boundary,0.010756025053198004,0.22483910513560773,0.025612631408843664,5140
gamma,full,0.001972286617023084,0.12457419879769349,0.25944473221128533,10000
gamma,interior,0.0023758294714782595,0.011637686236297747,0.17923079452002325,4860
gamma,boundary,0.0015907266417989289,0.12457419879769349,0.34915163583876574,5140
theta,full,0.4528078149046556,30.79375588595252,0.20501559683413587,10000
theta,interior,0.3470809621086607,1.216447258919744,0.0777385550559817,4860
theta,boundary,0.5527752282487286,30.79375588595252,0.3042928725118512,5140
