ticker,n_options,linear_dupire_r2,kan_train_r2,kan_test_r2,kan_oos_r2,sigma_loc_median,market_avg_iv,drift_act_linear_r2,diff_act_linear_r2
SPY,542,0.4386234468588477,0.7946151240698833,0.7671622697798576,-2.074331615495775,0.02842890876494452,0.2269181837104094,0.6814294336749213,0.8286295955374164
QQQ,416,0.4005886476602424,0.8684021909777959,0.9190983161513337,-2.572013925494488,0.06790085693442041,0.2875695223701041,0.6771349330169223,0.8850103727261406
AAPL,244,0.43221695033748786,0.893292930033776,0.9045658482867437,-2.646986283213929,0.08687079887390796,0.311460702974312,0.6763143946321237,0.9253916274208654
MSFT,172,0.6035986732389634,0.9253099858567269,0.8864263791465562,-1.109699734109499,0.19416313182595718,0.35907895971745757,0.6734800157256011,0.9575520236401809
