config,n_layers,width,epochs,lr,fit_mse,dVdt_rel_L2,dVdS_rel_L2,d2VdS2_rel_L2,sindy_r2_clean,max_coeff_err,mean_coeff_err,correct_structure,time_s
3x32_ep2000_lr0.001,3,32,2000,0.001,0.16918624741546473,0.2860743120080384,0.057195332487193794,0.3408312494805801,0.880747585441606,2.2795665402068277,1.2890939291530665,False,6.159103624988347
3x48_ep2000_lr0.001,3,48,2000,0.001,0.04709135957241599,0.2010153179947061,0.02679673672077474,0.17008827372628832,0.913828251207204,4.6374697762054815,2.647781940045697,False,7.697296584025025
4x32_ep2000_lr0.001,4,32,2000,0.001,0.04714348710627684,0.19111946061558607,0.02954180673044218,0.18466106539264895,0.9067612382391843,2.4546910161713806,1.7921507155577576,False,7.9578772080130875
4x48_ep2000_lr0.001,4,48,2000,0.001,0.044633916384401624,0.19176892378755603,0.03256124769536891,0.22744481528137805,0.8910350141969462,2.72388464758711,1.9356777733002708,False,9.96073391707614
4x64_ep3000_lr0.001,4,64,3000,0.001,0.02761049760595709,0.1736336500867892,0.02549699834311701,0.18550571524483786,0.9024337355425385,3.095611629204558,1.8146910687612892,False,16.62014799984172
3x32_ep5000_lr0.001,3,32,5000,0.001,0.04348560486994136,0.17650490096272797,0.0287047656628853,0.19289051887591271,0.9132593695031977,3.0615813416003457,1.6451249029728796,False,15.250266208779067
3x64_ep3000_lr0.0005,3,64,3000,0.0005,0.05298046796310153,0.20674906989744896,0.033698565432398034,0.2225702970554709,0.9324829385794144,5.952105594787046,3.982682083755462,False,12.998935624957085
5x32_ep3000_lr0.001,5,32,3000,0.001,0.018890341603068326,0.14991046247185738,0.01766984545012384,0.11122077685604718,0.9461357300899595,3.5876623198812485,2.025801437308557,False,14.259397874586284
