ticker,q,g2_r2,g2_sigma,g2_rq,quad_r2,quad_alpha,quad_beta,quad_gamma,win_valid,win_total,bs_ci_low,bs_ci_high,bs_ci_width,bs_point_in_ci,direct_valid_pct,direct_sigma_median
SPY,0.0103,0.5589248770045214,0.0,0.14760963836780308,0.5624879974874253,-0.0006675668134985981,0.009116940952980337,-0.07840589430915955,8,136,0.045117160225766825,0.06150094418522513,0.016383783959458303,False,0.8967391304347826,0.23529912934251976
QQQ,0.005,0.6240833341765741,0.12326061843889195,0.15248314092703816,0.6332507234707543,0.017158881131729888,0.01379928241594843,-0.4731220063283495,3,119,0.10554786505942408,0.1241657220887762,0.01861785702935212,True,0.92625,0.2918246203168231
AAPL,0.005,0.5499490990497946,0.14078221227682436,0.1762685931227432,0.5549777510789177,0.020640180182046133,0.0021414179636904977,-0.4255965633522077,10,102,0.13125474032692935,0.1509440346526506,0.01968929432572125,True,0.9194444444444444,0.30056257587566215
MSFT,0.007,0.60822642043645,0.24724314154986257,0.13032576825786518,0.6224919619398814,0.05410842862011726,0.19397517481124282,0.02963882108652334,4,68,0.2132213344598302,0.2433319997407231,0.0301106652808929,False,0.9666666666666667,0.35896380139336437
