ticker,split,regime,n_options,sigma_discovered,sigma_market,ratio,r2,skipped,reason
SPY,maturity,Short (<2mo),315,0.14056101798389126,0.16329760980660574,0.8607659239492755,0.7836365198544006,False,
SPY,maturity,Medium (2-6mo),126,0.10206285673674993,0.17794362413678852,0.5735684952571964,0.9795764170806686,False,
SPY,maturity,Long (>6mo),101,,0.19801822848102835,,0.8899727611988026,False,
SPY,moneyness,OTM puts (<0.95),52,,0.2970726174882742,,0.32675939760879247,False,
SPY,moneyness,ATM (0.95-1.05),286,,0.16012033970466025,,-1.1063721644294837,False,
SPY,moneyness,OTM calls (>1.05),204,,0.15988868402929868,,0.8203067753349553,False,
