term,coefficient,r2_score,width_factor_used
V,0.06805723652235593,0.9889042247447232,13.440787975223675
dV/dS,3.791108189111087,0.9889042247447232,13.440787975223675
d2V/dS2,-124.2164976416243,0.9889042247447232,13.440787975223675
S*dV/dS,-0.11887388610222513,0.9889042247447232,13.440787975223675
S2*d2V/dS2,-0.004824519310466493,0.9889042247447232,13.440787975223675
