ticker,best_approach,r2_score,sigma_recovered,drift_recovered,avg_market_iv,applied_spy_winner,normalize_moneyness
SPY,gp_smooth_fd_deriv,0.6346546297429592,0.07142109780698916,0.33734997485644314,0.17317248119354248,False,True
QQQ,savgol_fd,0.4601821922268333,0.11641677147243908,0.10899501262336624,0.2331415899172196,False,True
AAPL,gp_smooth_fd_deriv,0.6970735712918034,0.17446149407351383,0.3162188986203769,0.2850133134885694,True,True
MSFT,gp_smooth_fd_deriv,0.6812125529776729,0.36501743141141396,0.421781561644435,0.3294066576691561,True,True
