ticker,r2_fd,r2_gp,sigma_fd,sigma_gp,drift_fd,drift_gp,avg_market_iv
SPY,0.7313648151791909,0.5843011429079612,0.06481068439971496,0.06804192190025454,0.09839926051273967,0.34678292692318685,0.17317248119354248
QQQ,0.2663710319762884,0.9202644427684683,0.08910626242637544,0.19571515870486944,0.05840003612245776,0.3497316779051401,0.2331415899172196
AAPL,0.14532448477470017,0.6593574468783687,,0.17815232438295697,0.3538008225489004,0.3184735206020812,0.2850133134885694
MSFT,-0.22347653829630576,0.6480919462460211,0.08319882286439505,0.36520221918309215,0.3477245660008973,0.4269250551540671,0.3294066576691561
