ticker,r2_score,alpha,beta,gamma,drift,condition_number,sigma_at_-0.1,sigma_at_0,sigma_at_+0.1
SPY,0.12885827127076666,0.0031558028029988463,0.03703282515289278,-0.3804504456982221,-0.14110826691358117,129.5054285512771,,0.05617653249354971,0.05526826269484054
QQQ,0.19041550511852812,0.0319810053822779,0.012377973288998005,-0.7375416970934491,-0.07303280393797663,105.92217130075541,0.1528652710148502,0.17883233874855492,0.16075878122280973
AAPL,0.34868466790274333,0.05236643855221053,-0.10308272406767421,-0.6370741177661531,-0.060436472848882074,90.81047191863486,0.2372845755233922,0.2288371441707192,0.18891115628194535
MSFT,0.5855599418734343,0.06591896701319662,0.10903334069839062,0.29574634479709494,-0.10682970604615967,104.4688918011208,0.2407760295198185,0.256746892898817,0.28245311917379606
