ticker,kan_train_r2,kan_test_r2,n_active_edges,symbolic_expression,dupire_2term_r2,sigma_loc_baseline,error
SPY,0.9504336623996529,0.9520509188010393,30,dV/dt = 295*C**3/663 + 679*C/950 + 350*d2C/(653*dk2) + 255*dC**3/(563*dk**3) + 151*dC**2/(865*dk**2) + 91*dC/(213*dk) + 130*k**3/913 + 331*k/465 + 419*tau**2/646 + 185*tau/989 + 427*exp(C)/919 + 285*e,0.605290898800842,0.049292591690264634,
QQQ,0.9330342854062434,0.9293812777865302,30,dV/dt = 196*C**3/775 + 1267*C/962 + 106*dC**2/(407*dk**2) + 31*dC/(66*dk) - 125*k**2/923 + 11*k/30 + 121*tau**3/582 + 712*tau**2/883 + 99*tau/488 + 140*exp(k)/333 + 305*exp(tau)/924 + 1653*exp(d2C/dk2,0.6342860879308759,0.12581119477077746,
