noise_pct,method,coeff_V,coeff_SdVdS,coeff_S2d2VdS2,true_V,true_SdVdS,true_S2d2VdS2,rel_err_V,rel_err_SdVdS,rel_err_S2d2VdS2,max_rel_err,correct_structure
0.03,savgol,-0.04751961760633819,0.23144948897934933,0.0,0.05,-0.05,-0.020000000000000004,1.9503923521267637,5.628989779586987,1.0,5.628989779586987,False
0.05,savgol,-0.07891240627538033,0.2677317879955516,0.0,0.05,-0.05,-0.020000000000000004,2.5782481255076064,6.354635759911031,1.0,6.354635759911031,False
0.07,savgol,-0.10382544007453479,0.2849817589797461,0.0,0.05,-0.05,-0.020000000000000004,3.076508801490696,6.699635179594921,1.0,6.699635179594921,False
0.1,savgol,-0.1306817000226155,0.29256408722285526,0.0,0.05,-0.05,-0.020000000000000004,3.6136340004523104,6.851281744457105,1.0,6.851281744457105,False
0.12,savgol,-0.14424755774134645,0.28950429533230626,0.0,0.05,-0.05,-0.020000000000000004,3.8849511548269287,6.790085906646125,1.0,6.790085906646125,False
0.15,savgol,-0.1583923770978934,0.2781856167053194,0.0,0.05,-0.05,-0.020000000000000004,4.167847541957867,6.563712334106387,1.0,6.563712334106387,False
0.2,savgol,-0.17427067169834204,0.2504720453684738,0.0,0.05,-0.05,-0.020000000000000004,4.485413433966841,6.009440907369475,1.0,6.009440907369475,False
0.25,savgol,-0.18342959195350478,0.2209400306684305,0.0,0.05,-0.05,-0.020000000000000004,4.668591839070095,5.418800613368609,1.0,5.418800613368609,False
0.3,savgol,-0.18717926293971748,0.1942172488767177,0.0,0.05,-0.05,-0.020000000000000004,4.743585258794349,4.8843449775343535,1.0,4.8843449775343535,False
0.0,neural,0.20391730915690529,-0.14076681806551086,0.009085919168748135,0.05,-0.05,-0.020000000000000004,3.0783461831381054,1.8153363613102171,1.4542959584374067,3.0783461831381054,False
0.005,neural,0.1614596483551679,-0.14587735052942394,0.004685329815597034,0.05,-0.05,-0.020000000000000004,2.229192967103358,1.9175470105884787,1.2342664907798515,2.229192967103358,False
0.01,neural,0.11582282657959739,-0.15036312965638146,0.0,0.05,-0.05,-0.020000000000000004,1.3164565315919476,2.007262593127629,1.0,2.007262593127629,False
0.02,neural,0.02091604542301421,-0.15805167537654244,-0.009693855590448018,0.05,-0.05,-0.020000000000000004,0.5816790915397158,2.1610335075308487,0.5153072204775991,2.1610335075308487,False
0.03,neural,-0.06447730181621862,-0.16423382768848196,-0.01845657546918292,0.05,-0.05,-0.020000000000000004,2.2895460363243725,2.284676553769639,0.07717122654085412,2.2895460363243725,False
