ticker,data_source,S0,r_fetched,avg_iv,sigma_discovered,sigma_ratio,r_discovered,q_implied,r_plausible,q_plausible,sigma_plausible,jump_signature,coeff_V,bs_V,coeff_dV/dS,bs_dV/dS,coeff_d2V/dS2,bs_d2V/dS2,coeff_S*dV/dS,bs_S*dV/dS,coeff_S2*d2V/dS2,bs_S2*d2V/dS2
SPY,cached,634.0900268554688,0.0360700011253356,0.21788443230279161,,,-0.431509219271002,0.4675792203963376,True,False,False,,-0.43752790340032466,0.0360700011253356,-253.20536310039114,0.0,-18.12959032575172,0.0,0.431509219271002,-0.0360700011253356,0.0,-0.02373681291995489
QQQ,cached,562.5800170898438,0.0360700011253356,0.253256932641494,,,-0.23350176960303873,0.26957177072837435,True,False,False,,-0.06191325406137166,0.0360700011253356,-114.82973804259602,0.0,30.64739529243907,0.0,0.23350176960303873,-0.0360700011253356,0.0,-0.032069536965489115
AAPL,cached,248.8000030517578,0.0360700011253356,0.3144723220129574,,,-0.42749365579150217,0.46356365691683776,True,False,False,,0.2816339594842217,0.0360700011253356,-65.6034712821487,0.0,-13.910305268852177,0.0,0.42749365579150217,-0.0360700011253356,0.0,-0.04944642065611058
MSFT,cached,356.7699890136719,0.0360700011253356,0.3553800087712845,0.1444876510656117,0.4065722536424413,-0.599261125592845,0.6353311267181806,False,False,True,134965.24639541577,0.36456647999860575,0.0360700011253356,-123.38320709685237,0.0,1408.8132184922654,0.0,0.599261125592845,-0.0360700011253356,-0.010438340655228983,-0.06314747531713913
