noise_pct,smoothing,r2,coeff_V,coeff_SdVdS,coeff_S2d2VdS2,bias_V,bias_SdVdS,bias_S2d2VdS2,correct_structure
0.0,None,0.9999978120866516,0.049897025521548226,-0.050236730620308666,-0.020096911357450446,-0.00010297447845177693,-0.00023673062030866304,-9.691135745044238e-05,False
0.0,"7,3",0.9999969944097847,0.04988745392548813,-0.05028071816759275,-0.0201048845631153,-0.00011254607451187393,-0.0002807181675927445,-0.00010488456311529698,False
0.0,"11,5",0.9999973023063867,0.04989666469046775,-0.050242944855156554,-0.02009796042118917,-0.00010333530953225006,-0.00024294485515655162,-9.796042118916451e-05,False
0.0,"21,5",0.9999688825905505,0.04989007251868236,-0.05047024504618609,-0.020131513714702162,-0.00010992748131764124,-0.0004702450461860838,-0.00013151371470215834,False
0.01,None,0.04945359827431617,-0.11091039567946309,0.2569824926110935,0.0,-0.16091039567946308,0.3069824926110935,0.020000000000000004,False
0.01,"7,3",0.20468160723443563,-0.12564975099272482,0.2920466372574476,0.0,-0.17564975099272484,0.3420466372574476,0.020000000000000004,False
0.01,"11,5",0.20903526751496304,-0.13008115062832945,0.2961072278580791,0.0,-0.18008115062832947,0.34610722785807907,0.020000000000000004,False
0.01,"21,5",0.5278742408340771,-0.07322852263592446,0.2428283260929399,0.0014130891533652085,-0.12322852263592446,0.2928283260929399,0.021413089153365213,False
0.05,None,0.0006208546473386312,-0.16808137368873663,0.1129307587485308,0.0,-0.21808137368873665,0.1629307587485308,0.020000000000000004,False
0.05,"7,3",0.0038046251599482828,-0.2303676760045178,0.2404554703760606,0.0,-0.2803676760045178,0.2904554703760606,0.020000000000000004,False
0.05,"11,5",0.004635216678021248,-0.23403643514284253,0.25098279930857115,0.0,-0.28403643514284255,0.30098279930857114,0.020000000000000004,False
0.05,"21,5",0.05323066793238629,-0.12117732987219772,0.26314453915494085,0.0,-0.17117732987219772,0.31314453915494084,0.020000000000000004,False
0.1,None,0.00022864802829514197,-0.17608176591986305,0.06910241102134021,0.0,-0.22608176591986306,0.11910241102134021,0.020000000000000004,False
0.1,"7,3",-0.0005099866466522496,-0.2563276903127385,0.13191827250476118,0.0,-0.3063276903127385,0.18191827250476117,0.020000000000000004,False
0.1,"11,5",-0.0002708762094236761,-0.261003103354257,0.1453517305560408,0.0,-0.311003103354257,0.19535173055604083,0.020000000000000004,False
0.1,"21,5",0.009396604664751229,-0.13771481603297342,0.2044287907391487,0.0,-0.1877148160329734,0.2544287907391487,0.020000000000000004,False
