term,bs_true,merton_discovered
V,0.05,0.05311901642778634
dV/dS,0.0,-0.06728488105265149
d2V/dS2,0.0,1.9048999299744356
S*dV/dS,-0.05,-0.0505514453931333
S2*d2V/dS2,-0.020000000000000004,-0.02058490061315891
