tau,n_used,c1,c2,sigma_loc,r2,market_avg_iv,sigma_in_bounds
0.032854,40,-0.3009621020656974,0.006224708204997764,0.11157695286211901,0.865789827482402,0.44278121219348227,True
0.052019,40,-0.17261429507064613,0.0135041420352877,0.16434197294232353,0.9082413575757927,0.3193602684228354,True
0.068446,40,-0.20329004763654587,0.009041203497763958,0.1344708406887081,0.9595777328956133,0.32575907007462124,True
0.090349,40,-0.2097165189981761,0.005878318295880319,0.10842802493710119,0.9500732324739426,0.32748659245822404,True
0.1013,40,-0.1978186513540901,0.005620710728715379,0.10602556982837091,0.9248966580260373,0.31755458745772264,True
0.147844,40,-0.1649675771805939,0.007358765788496308,0.12131583399125036,0.9162638079280562,0.2838002763938053,True
0.186174,40,-0.15383524716071903,0.008242404189480483,0.1283931788646148,0.870534096405255,0.2806825479902132,True
0.243669,40,-0.1460793689775659,0.00773937020156092,0.1244135860873797,0.8743937177374217,0.27340208014997336,True
0.320329,40,-0.13765255379205799,0.0076987505664631506,0.1240866678290875,0.8745700464718531,0.269217462640865,True
0.353183,40,-0.13313411308140669,0.009079965330258939,0.13475878695104776,0.8914855977821687,0.269217462640865,True
0.396988,40,-0.11813269652132631,0.011067848658988256,0.14878070210204183,0.7795124099343937,0.25897499999205553,True
0.569473,40,-0.13109330656482826,0.0055731115430532096,0.10557567468932613,0.7838933885873484,0.28100825451066075,True
0.605065,40,-0.12953620214930633,0.005335472247149323,0.10330026376683965,0.7654302693153026,0.28100825451066075,True
0.646133,40,-0.12922892940605393,0.004038345439431034,0.08987041158725194,0.7791700028218702,0.28016558553169907,True
0.818617,40,-0.13146693914564248,0.002767344188416959,0.07439548626653311,0.6878231823523537,0.2857354461806588,True
0.851472,40,-0.12927864712045348,0.0029561870470988932,0.07689196378164487,0.7262631258997692,0.2857354461806588,True
1.065024,40,-0.1179556943434791,0.0031801107255021313,0.07975099655179403,0.3711351092619377,0.2935251153883017,True
1.316906,40,-0.1097872008796125,0.0021025866135463253,0.06484730701496132,0.025406741208655603,0.2935251153883017,True
1.566051,40,-0.10286913053053635,0.00143918192004368,0.05365038527436089,-0.3936516147598699,0.2935251153883017,True
1.661875,40,-0.10047840346864573,0.0012513791003798927,0.05002757440412023,-0.5759434950687017,0.2935251153883017,True
