ticker,r2_fd,coeffs_fd,sigma_fd,r2_savgol,coeffs_savgol,sigma_savgol,r2_gp,coeffs_gp,sigma_gp
SPY,0.39750277411156065,"[-6.15764371e-01 -3.77231403e+02 -1.11024034e+02  5.24087847e-01
  1.52761235e-04]",,0.8061318664540633,"[-8.27156025e-01 -6.43070560e+02  1.31237355e+02  8.74637826e-01
 -3.66531498e-04]",0.02707513613295294,0.9623843215209517,"[ 3.02824525e-01  1.04354629e+02  1.52206835e+04  0.00000000e+00
 -2.99596521e-02]",0.24478419919838493
QQQ,0.3958440102317641,"[-5.46100780e-01 -5.66105521e+02 -1.45309555e+02  8.59534350e-01
  3.06502839e-04]",,0.8933131123897006,"[-8.47224896e-01 -7.24652644e+02  3.07728287e+02  1.05257160e+00
 -6.75155564e-04]",0.03674657981544977,0.9284618648252276,"[ 3.90047731e-01  7.68135698e+01  1.59895250e+04  7.99862611e-02
 -3.83402696e-02]",0.2769125118051526
AAPL,0.2333955087761852,"[-1.22966147e-01 -1.28338770e+02  2.27193971e+01  5.18234800e-01
 -2.45031882e-04]",0.022137383854026416,0.7292694015256259,"[-5.37865526e-01 -2.06786558e+02 -3.64647544e+02  7.09745369e-01
  2.25839640e-03]",,0.9245645073890807,"[ 2.26072210e-01  4.76204708e+01  9.48116565e+02 -3.66833532e-04
 -2.89533498e-02]",0.24063810932995197
MSFT,0.23468899648774255,"[-9.85020250e-01 -5.04855853e+02 -4.26902881e+01  1.28786792e+00
  2.15332058e-04]",,0.8114352642063859,"[-8.59931563e-01 -5.31732282e+02  2.07093702e+02  1.38694607e+00
 -1.42914989e-03]",0.05346306939385025,0.38759054183580977,"[ 5.82559648e-01 -9.94288111e+01  7.28854666e+03  5.81716312e-01
 -4.80371411e-02]",0.3099585168880455
