label,standardize,r2_score,condition_number,condition_number_raw,condition_number_standardized,n_active,active_terms,pde
synthetic_call_raw,False,0.9999978120866516,67828.86804943965,67828.86804943965,,5,"V, dV/dS, d2V/dS2, S*dV/dS, S2*d2V/dS2",dV/dt = 0.049897*V +0.038175*dV/dS +0.555272*d2V/dS2 -0.050237*S*dV/dS -0.020097*S2*d2V/dS2
synthetic_call_std,True,0.9999978120866516,90.96462529288348,67828.86804943965,90.96462529288348,5,"V, dV/dS, d2V/dS2, S*dV/dS, S2*d2V/dS2",dV/dt = 0.049897*V +0.038175*dV/dS +0.555272*d2V/dS2 -0.050237*S*dV/dS -0.020097*S2*d2V/dS2
SPY_raw,False,0.7517975404337198,3326654.05465636,3326654.05465636,,4,"V, dV/dS, d2V/dS2, S*dV/dS",dV/dt = -0.615011*V -486.483484*dV/dS -66.526860*d2V/dS2 +0.677368*S*dV/dS
SPY_std,True,0.7529297068939569,61.37474346065979,3326654.05465636,61.37474346065979,5,"V, dV/dS, d2V/dS2, S*dV/dS, S2*d2V/dS2",dV/dt = -0.610634*V -486.866517*dV/dS +154.578832*d2V/dS2 +0.678417*S*dV/dS -0.000364*S2*d2V/dS2
