seed,edge_idx,x_eval,activation
42,0,-1.0,2.481733798980713
42,1,-1.0,0.36481600999832153
42,0,-0.9899497628211975,2.4721291065216064
42,1,-0.9899497628211975,0.36478346586227417
42,0,-0.979899525642395,2.4609408378601074
42,1,-0.979899525642395,0.36476749181747437
42,0,-0.9698492288589478,2.448129177093506
42,1,-0.9698492288589478,0.3647659420967102
42,0,-0.9597989916801453,2.433657646179199
42,1,-0.9597989916801453,0.3647770881652832
42,0,-0.9497487545013428,2.4174866676330566
42,1,-0.9497487545013428,0.3647990822792053
42,0,-0.9396985173225403,2.3995790481567383
42,1,-0.9396985173225403,0.3648298382759094
42,0,-0.929648220539093,2.379894733428955
42,1,-0.929648220539093,0.36486750841140747
42,0,-0.9195979833602905,2.3583970069885254
42,1,-0.9195979833602905,0.36491015553474426
42,0,-0.909547746181488,2.3350465297698975
42,1,-0.909547746181488,0.3649560511112213
42,0,-0.8994975090026855,2.3098056316375732
42,1,-0.8994975090026855,0.3650030493736267
42,0,-0.8894472122192383,2.282635450363159
42,1,-0.8894472122192383,0.36504927277565
42,0,-0.8793969750404358,2.253497362136841
42,1,-0.8793969750404358,0.365092933177948
42,0,-0.8693467378616333,2.2223541736602783
42,1,-0.8693467378616333,0.36513200402259827
42,0,-0.8592965006828308,2.18916654586792
42,1,-0.8592965006828308,0.36516448855400085
42,0,-0.8492462038993835,2.1538963317871094
42,1,-0.8492462038993835,0.36518874764442444
42,0,-0.839195966720581,2.1165051460266113
42,1,-0.839195966720581,0.3652026951313019
42,0,-0.8291457295417786,2.0769548416137695
42,1,-0.8291457295417786,0.36520445346832275
42,0,-0.8190954923629761,2.0352070331573486
42,1,-0.8190954923629761,0.3651919662952423
42,0,-0.8090452551841736,1.991223692893982
42,1,-0.8090452551841736,0.3651634752750397
42,0,-0.7989949584007263,1.9449653625488281
42,1,-0.7989949584007263,0.3651171624660492
42,0,-0.7889447212219238,1.8963948488235474
42,1,-0.7889447212219238,0.36505088210105896
42,0,-0.7788944840431213,1.8454735279083252
42,1,-0.7788944840431213,0.3649628758430481
42,0,-0.7688442468643188,1.7921627759933472
42,1,-0.7688442468643188,0.36485111713409424
42,0,-0.7587939500808716,1.7364240884780884
42,1,-0.7587939500808716,0.3647138476371765
42,0,-0.7487437129020691,1.6782199144363403
42,1,-0.7487437129020691,0.36454907059669495
42,0,-0.7386934757232666,1.617576241493225
42,1,-0.7386934757232666,0.36435607075691223
42,0,-0.7286432385444641,1.5546977519989014
42,1,-0.7286432385444641,0.36413782835006714
42,0,-0.7185929417610168,1.4898196458816528
42,1,-0.7185929417610168,0.3638976514339447
42,0,-0.7085427045822144,1.4231778383255005
42,1,-0.7085427045822144,0.3636389374732971
42,0,-0.6984924674034119,1.3550076484680176
42,1,-0.6984924674034119,0.3633652627468109
42,0,-0.6884422302246094,1.2855441570281982
42,1,-0.6884422302246094,0.3630799949169159
42,0,-0.6783919334411621,1.2150222063064575
42,1,-0.6783919334411621,0.3627864420413971
42,0,-0.6683416962623596,1.1436785459518433
42,1,-0.6683416962623596,0.36248812079429626
42,0,-0.6582914590835571,1.071747899055481
42,1,-0.6582914590835571,0.36218857765197754
42,0,-0.6482412219047546,0.9994654059410095
42,1,-0.6482412219047546,0.3618910610675812
42,0,-0.6381909251213074,0.9270663857460022
42,1,-0.6381909251213074,0.3615990877151489
42,0,-0.6281406879425049,0.8547868132591248
42,1,-0.6281406879425049,0.361316055059433
42,0,-0.6180904507637024,0.7828616499900818
42,1,-0.6180904507637024,0.36104539036750793
42,0,-0.6080402135848999,0.7115265130996704
42,1,-0.6080402135848999,0.3607906103134155
42,0,-0.5979899764060974,0.6410166025161743
42,1,-0.5979899764060974,0.36055487394332886
