ticker,K_center,tau_center,sigma_local,r2_local
SPY,679.7435897435896,0.25078706666666667,,0.9839606215951143
SPY,679.7435897435896,0.3785534666666666,0.6464290634255101,0.9683008402241038
SPY,679.7435897435896,0.5714807333333333,0.16645723264556536,0.9995130358316262
SPY,703.2051282051282,0.25078706666666667,0.22043513465016137,0.9579476863254637
SPY,703.2051282051282,0.3785534666666666,,0.4811088191505424
SPY,703.2051282051282,0.5714807333333333,0.23377044410326117,0.9981219613062936
SPY,726.6666666666666,0.25078706666666667,,-0.8401779828818161
SPY,726.6666666666666,0.3785534666666666,,0.9358697166049286
SPY,726.6666666666666,0.5714807333333333,0.34913152549596554,0.9365371339758137
SPY,750.1282051282051,0.25078706666666667,0.25231309403604996,0.9557430011612236
SPY,750.1282051282051,0.3785534666666666,0.25237798941362044,0.9591177696992904
SPY,750.1282051282051,0.5714807333333333,0.24753178448024624,0.969244758227606
SPY,773.5897435897436,0.25078706666666667,0.11331114786483634,0.6898723877715229
SPY,773.5897435897436,0.3785534666666666,,0.2612554837368407
SPY,773.5897435897436,0.5714807333333333,0.39356788048259733,0.8608631793291326
SPY,797.051282051282,0.25078706666666667,,0.725602978413485
SPY,797.051282051282,0.3785534666666666,,0.6915656713341642
SPY,797.051282051282,0.5714807333333333,,0.6936182772166128
SPY,820.5128205128206,0.25078706666666667,,0.7851516017310458
SPY,820.5128205128206,0.3785534666666666,,0.8864131622961164
SPY,820.5128205128206,0.5714807333333333,,0.5497604989911984
SPY,843.9743589743591,0.25078706666666667,,0.7611948490337528
SPY,843.9743589743591,0.3785534666666666,,0.6327006933433957
SPY,843.9743589743591,0.5714807333333333,,0.6114214494880306
SPY,867.4358974358973,0.25078706666666667,,0.722242742542218
SPY,867.4358974358973,0.3785534666666666,,0.6710175641875007
SPY,867.4358974358973,0.5714807333333333,,0.7124671326643789
