kernel,edge_idx,x_eval,activation
RBF,0,-1.0,2.4868361949920654
RBF,1,-1.0,0.4694170355796814
RBF,0,-0.9899497628211975,2.4895641803741455
RBF,1,-0.9899497628211975,0.48917216062545776
RBF,0,-0.979899525642395,2.4908108711242676
RBF,1,-0.979899525642395,0.5062054991722107
RBF,0,-0.9698492288589478,2.490510940551758
RBF,1,-0.9698492288589478,0.5206480622291565
RBF,0,-0.9597989916801453,2.4885993003845215
RBF,1,-0.9597989916801453,0.5326313376426697
RBF,0,-0.9497487545013428,2.4850118160247803
RBF,1,-0.9497487545013428,0.5422865152359009
RBF,0,-0.9396985173225403,2.4796838760375977
RBF,1,-0.9396985173225403,0.5497453212738037
RBF,0,-0.929648220539093,2.4725492000579834
RBF,1,-0.929648220539093,0.5551387667655945
RBF,0,-0.9195979833602905,2.463543653488159
RBF,1,-0.9195979833602905,0.5585983991622925
RBF,0,-0.909547746181488,2.4526031017303467
RBF,1,-0.909547746181488,0.5602556467056274
RBF,0,-0.8994975090026855,2.4396615028381348
RBF,1,-0.8994975090026855,0.5602414608001709
RBF,0,-0.8894472122192383,2.424654722213745
RBF,1,-0.8894472122192383,0.5586875677108765
RBF,0,-0.8793969750404358,2.407517671585083
RBF,1,-0.8793969750404358,0.5557249784469604
RBF,0,-0.8693467378616333,2.3881850242614746
RBF,1,-0.8693467378616333,0.551485538482666
RBF,0,-0.8592965006828308,2.3665926456451416
RBF,1,-0.8592965006828308,0.5461001992225647
RBF,0,-0.8492462038993835,2.342674970626831
RBF,1,-0.8492462038993835,0.5397005081176758
RBF,0,-0.839195966720581,2.3163678646087646
RBF,1,-0.839195966720581,0.5324177145957947
RBF,0,-0.8291457295417786,2.2876062393188477
RBF,1,-0.8291457295417786,0.5243832468986511
RBF,0,-0.8190954923629761,2.2563247680664062
RBF,1,-0.8190954923629761,0.5157284140586853
RBF,0,-0.8090452551841736,2.222459077835083
RBF,1,-0.8090452551841736,0.5065847635269165
RBF,0,-0.7989949584007263,2.185943841934204
RBF,1,-0.7989949584007263,0.4970831871032715
RBF,0,-0.7889447212219238,2.146714448928833
RBF,1,-0.7889447212219238,0.4873553514480591
RBF,0,-0.7788944840431213,2.104706048965454
RBF,1,-0.7788944840431213,0.47753265500068665
RBF,0,-0.7688442468643188,2.059854030609131
RBF,1,-0.7688442468643188,0.46774646639823914
RBF,0,-0.7587939500808716,2.0120925903320312
RBF,1,-0.7587939500808716,0.4581278860569
RBF,0,-0.7487437129020691,1.9613580703735352
RBF,1,-0.7487437129020691,0.4488084614276886
RBF,0,-0.7386934757232666,1.907654047012329
RBF,1,-0.7386934757232666,0.4398862421512604
RBF,0,-0.7286432385444641,1.8511744737625122
RBF,1,-0.7286432385444641,0.4313676953315735
RBF,0,-0.7185929417610168,1.79214608669281
RBF,1,-0.7185929417610168,0.42324361205101013
RBF,0,-0.7085427045822144,1.7307953834533691
RBF,1,-0.7085427045822144,0.41550472378730774
RBF,0,-0.6984924674034119,1.6673493385314941
RBF,1,-0.6984924674034119,0.40814173221588135
RBF,0,-0.6884422302246094,1.6020348072052002
RBF,1,-0.6884422302246094,0.4011455178260803
RBF,0,-0.6783919334411621,1.5350772142410278
RBF,1,-0.6783919334411621,0.3945066034793854
RBF,0,-0.6683416962623596,1.4667046070098877
RBF,1,-0.6683416962623596,0.3882160782814026
RBF,0,-0.6582914590835571,1.3971432447433472
RBF,1,-0.6582914590835571,0.38226455450057983
RBF,0,-0.6482412219047546,1.3266195058822632
RBF,1,-0.6482412219047546,0.37664270401000977
RBF,0,-0.6381909251213074,1.2553596496582031
RBF,1,-0.6381909251213074,0.37134140729904175
RBF,0,-0.6281406879425049,1.183591604232788
RBF,1,-0.6281406879425049,0.3663514256477356
RBF,0,-0.6180904507637024,1.111540675163269
RBF,1,-0.6180904507637024,0.3616633117198944
RBF,0,-0.6080402135848999,1.039434790611267
RBF,1,-0.6080402135848999,0.35726824402809143
RBF,0,-0.5979899764060974,0.9674994349479675
RBF,1,-0.5979899764060974,0.3531566560268402
RBF,0,-0.5879396796226501,0.8959611654281616
RBF,1,-0.5879396796226501,0.3493192493915558
RBF,0,-0.5778894424438477,0.8250478506088257
RBF,1,-0.5778894424438477,0.3457470238208771
RBF,0,-0.5678392052650452,0.7549854516983032
RBF,1,-0.5678392052650452,0.3424306809902191
RBF,0,-0.5577889680862427,0.6860005855560303
RBF,1,-0.5577889680862427,0.33936095237731934
RBF,0,-0.5477386713027954,0.618319571018219
RBF,1,-0.5477386713027954,0.33652856945991516
RBF,0,-0.5376884341239929,0.552169680595398
RBF,1,-0.5376884341239929,0.3339243233203888
RBF,0,-0.5276381969451904,0.4877775311470032
RBF,1,-0.5276381969451904,0.3315389156341553
RBF,0,-0.5175879597663879,0.42536935210227966
RBF,1,-0.5175879597663879,0.3293631076812744
RBF,0,-0.5075376629829407,0.36517176032066345
RBF,1,-0.5075376629829407,0.32738783955574036
RBF,0,-0.4974874258041382,0.30741119384765625
RBF,1,-0.4974874258041382,0.325603723526001
RBF,0,-0.4874371886253357,0.2522256374359131
RBF,1,-0.4874371886253357,0.3240095376968384
RBF,0,-0.4773869216442108,0.1995825320482254
RBF,1,-0.4773869216442108,0.3226194381713867
RBF,0,-0.4673366844654083,0.14943066239356995
RBF,1,-0.4673366844654083,0.3214491009712219
RBF,0,-0.45728641748428345,0.10171766579151154
RBF,1,-0.45728641748428345,0.32051438093185425
RBF,0,-0.44723618030548096,0.05639234185218811
RBF,1,-0.44723618030548096,0.31983113288879395
RBF,0,-0.43718594312667847,0.01340252161026001
RBF,1,-0.43718594312667847,0.3194151222705841
RBF,0,-0.4271356761455536,-0.027303531765937805
RBF,1,-0.4271356761455536,0.31928208470344543
RBF,0,-0.4170854389667511,-0.06577737629413605
RBF,1,-0.4170854389667511,0.31944790482521057
RBF,0,-0.4070351719856262,-0.10207107663154602
RBF,1,-0.4070351719856262,0.31992849707603455
RBF,0,-0.39698493480682373,-0.13623620569705963
RBF,1,-0.39698493480682373,0.3207394480705261
RBF,0,-0.38693466782569885,-0.16832466423511505
RBF,1,-0.38693466782569885,0.3218967318534851
RBF,0,-0.37688443064689636,-0.19838805496692657
RBF,1,-0.37688443064689636,0.3234160542488098
RBF,0,-0.3668341636657715,-0.22647839784622192
RBF,1,-0.3668341636657715,0.3253132700920105
RBF,0,-0.356783926486969,-0.2526472508907318
RBF,1,-0.356783926486969,0.32760435342788696
RBF,0,-0.3467336595058441,-0.2769466042518616
RBF,1,-0.3467336595058441,0.33030474185943604
RBF,0,-0.3366834223270416,-0.29942798614501953
RBF,1,-0.3366834223270416,0.33343052864074707
RBF,0,-0.32663315534591675,-0.32014337182044983
RBF,1,-0.32663315534591675,0.33699744939804077
RBF,0,-0.31658291816711426,-0.33914443850517273
RBF,1,-0.31658291816711426,0.3410213589668274
RBF,0,-0.3065326511859894,-0.3564831018447876
RBF,1,-0.3065326511859894,0.34551799297332764
RBF,0,-0.2964824140071869,-0.37221091985702515
RBF,1,-0.2964824140071869,0.3505030870437622
RBF,0,-0.286432147026062,-0.3863798677921295
RBF,1,-0.286432147026062,0.3559926152229309
RBF,0,-0.2763819098472595,-0.3990415930747986
RBF,1,-0.2763819098472595,0.36200231313705444
RBF,0,-0.26633167266845703,-0.41024792194366455
RBF,1,-0.26633167266845703,0.3685480058193207
RBF,0,-0.25628140568733215,-0.420050710439682
RBF,1,-0.25628140568733215,0.3756454288959503
RBF,0,-0.24623115360736847,-0.4285021722316742
RBF,1,-0.24623115360736847,0.3833100497722626
RBF,0,-0.23618090152740479,-0.43567508459091187
RBF,1,-0.23618090152740479,0.3915315568447113
RBF,0,-0.2261306494474411,-0.44167113304138184
