term,coefficient,r2_score,n_active
V,0.049871332816190564,0.9999967920645363,5
dV/dS,0.03935856084772797,0.9999967920645363,5
d2V/dS2,0.3982154569432206,0.9999967920645363,5
S*dV/dS,-0.05025080595174408,0.9999967920645363,5
S2*d2V/dS2,-0.020087060389021194,0.9999967920645363,5
