ticker,win_valid,win_total,win_sigma_med,win_sigma_mean,quad_r2,quad_alpha,quad_beta,quad_gamma,pex_n_total,pex_n_nonzero,pex_n_in_bounds,pex_sigma_mean
SPY,21,66,0.07699568631838398,0.08194510987689561,0.5624879974874253,-0.0006675668134985981,0.009116940952980337,-0.07840589430915955,23,22,22,0.0580480732362719
QQQ,14,55,0.143460920912946,0.14262496539465996,0.6332507234707543,0.017158881131729888,0.01379928241594843,-0.4731220063283495,20,20,20,0.10524510902104385
AAPL,14,44,0.1595224408369086,0.1367178825707295,0.5549777510789177,0.020640180182046133,0.0021414179636904977,-0.4255965633522077,18,18,18,0.12883374069817388
MSFT,16,33,0.20584711654954235,0.17287412928089035,0.6224919619398814,0.05410842862011726,0.19397517481124282,0.02963882108652334,15,15,15,0.21487364809706253
