l1_weight,edge_idx,x_eval,activation
0.001,0,-1.0,2.4883663654327393
0.001,1,-1.0,0.38237613439559937
0.001,0,-0.9899497628211975,2.477691411972046
0.001,1,-0.9899497628211975,0.38229304552078247
0.001,0,-0.979899525642395,2.4655096530914307
0.001,1,-0.979899525642395,0.3822464346885681
0.001,0,-0.9698492288589478,2.451777458190918
0.001,1,-0.9698492288589478,0.382232129573822
0.001,0,-0.9597989916801453,2.436455011367798
0.001,1,-0.9597989916801453,0.3822462558746338
0.001,0,-0.9497487545013428,2.4195003509521484
0.001,1,-0.9497487545013428,0.3822844624519348
0.001,0,-0.9396985173225403,2.4008712768554688
0.001,1,-0.9396985173225403,0.38234275579452515
0.001,0,-0.929648220539093,2.380526065826416
0.001,1,-0.929648220539093,0.3824167847633362
0.001,0,-0.9195979833602905,2.3584227561950684
0.001,1,-0.9195979833602905,0.38250261545181274
0.001,0,-0.909547746181488,2.3345208168029785
0.001,1,-0.909547746181488,0.3825961947441101
0.001,0,-0.8994975090026855,2.3087778091430664
0.001,1,-0.8994975090026855,0.3826930522918701
0.001,0,-0.8894472122192383,2.281151294708252
0.001,1,-0.8894472122192383,0.3827894330024719
0.001,0,-0.8793969750404358,2.251600742340088
0.001,1,-0.8793969750404358,0.38288089632987976
0.001,0,-0.8693467378616333,2.220083475112915
0.001,1,-0.8693467378616333,0.3829633891582489
0.001,0,-0.8592965006828308,2.186558485031128
0.001,1,-0.8592965006828308,0.3830329179763794
0.001,0,-0.8492462038993835,2.1509835720062256
0.001,1,-0.8492462038993835,0.38308531045913696
0.001,0,-0.839195966720581,2.1133177280426025
0.001,1,-0.839195966720581,0.3831164240837097
0.001,0,-0.8291457295417786,2.073518753051758
0.001,1,-0.8291457295417786,0.38312193751335144
0.001,0,-0.8190954923629761,2.0315444469451904
0.001,1,-0.8190954923629761,0.38309794664382935
0.001,0,-0.8090452551841736,1.987354040145874
0.001,1,-0.8090452551841736,0.38304030895233154
0.001,0,-0.7989949584007263,1.9409046173095703
0.001,1,-0.7989949584007263,0.38294464349746704
0.001,0,-0.7889447212219238,1.8921558856964111
0.001,1,-0.7889447212219238,0.3828071653842926
0.001,0,-0.7788944840431213,1.8410656452178955
0.001,1,-0.7788944840431213,0.38262370228767395
0.001,0,-0.7688442468643188,1.7875919342041016
0.001,1,-0.7688442468643188,0.38238972425460815
0.001,0,-0.7587939500808716,1.7316926717758179
0.001,1,-0.7587939500808716,0.38210153579711914
0.001,0,-0.7487437129020691,1.6733273267745972
0.001,1,-0.7487437129020691,0.3817548155784607
0.001,0,-0.7386934757232666,1.6125186681747437
0.001,1,-0.7386934757232666,0.3813481628894806
0.001,0,-0.7286432385444641,1.5494718551635742
0.001,1,-0.7286432385444641,0.38088706135749817
0.001,0,-0.7185929417610168,1.4844214916229248
0.001,1,-0.7185929417610168,0.38037845492362976
