metric,value
relative_l2_error,0.010074215845418387
mae,0.18604064781084423
max_error,0.5817634405070358
r2,0.9998253353521167
full_grid_rel_l2,0.009768871676176433
full_grid_mae,0.18769308770288134
bc_relative_error,0.01782880134346906
