k_center,tau_center,sigma_local,r2,is_valid
-0.20512820512820512,0.214921,0.0,0.5026535244393098,False
-0.20512820512820512,0.368241,0.0,0.5622450538513316,False
-0.20512820512820512,0.94319,0.032976852515600494,0.653884457776299,True
-0.16666666666666669,0.214921,0.0,0.44376770181911374,False
-0.16666666666666669,0.368241,0.06656772727560895,0.592241203247674,True
-0.16666666666666669,0.94319,0.0,0.7346778552053929,False
-0.1282051282051282,0.214921,0.1192848383367497,0.4556430310881985,False
-0.1282051282051282,0.368241,0.08424178685555057,0.5662287852665334,True
-0.1282051282051282,0.94319,0.05192646901258909,0.6999678753641929,True
-0.08974358974358976,0.214921,0.13417043070372384,0.4630063971591546,False
-0.08974358974358976,0.368241,0.19281605571154142,0.5967199909319316,True
-0.08974358974358976,0.94319,0.09467855259182034,0.5896919473796021,True
-0.05128205128205128,0.214921,0.20618239310884048,0.5276367822633444,True
-0.05128205128205128,0.368241,0.21837827269983084,0.5108628734834241,True
-0.05128205128205128,0.94319,0.13970905506336173,0.5514041393413323,True
-0.01282051282051283,0.214921,0.21047624034732637,0.7006279945588045,True
-0.01282051282051283,0.368241,0.2055118399902442,0.6055738424343915,True
-0.01282051282051283,0.94319,0.2148744132551071,0.5503902218263641,True
0.02564102564102562,0.214921,0.20738687395459712,0.4873525882905879,False
0.02564102564102562,0.368241,0.1947108364382011,0.3503651547191954,False
0.02564102564102562,0.94319,0.1866139946916639,0.36462660105546796,False
0.0641025641025641,0.214921,0.2575354468620166,0.6190765744103668,True
0.0641025641025641,0.368241,0.25170602995273506,0.6684452195083102,True
0.0641025641025641,0.94319,0.2603710075556395,0.845269305615149,True
0.10256410256410256,0.214921,0.33819849342383185,0.22203103212227038,False
0.10256410256410256,0.368241,0.3108574257145933,0.4094866609440735,False
0.10256410256410256,0.94319,0.278033925696433,0.7809781065369813,True
0.14102564102564102,0.214921,0.30856139370931257,-2.156142204236619,False
0.14102564102564102,0.368241,0.27153934382717876,-3.380250266783449,False
0.14102564102564102,0.94319,0.23979028603333302,-1.2960771493615586,False
0.17948717948717946,0.214921,0.22925778292897842,-1.6923303842199542,False
0.17948717948717946,0.368241,0.24421406492192427,-3.576382661775276,False
0.17948717948717946,0.94319,0.09991611575111627,-4.269059788404791,False
